,movie,year,imdb,votes,summary,storyline,summary_storyline
114,Armageddon,1998,6.7,393142,"After discovering asteroid size Texas going impact Earth less month , NASA recruits misfit team deep-core drillers save planet .","Due shuttle 's unfortunate demise outer space , NASA becomes aware doomsday asteroid collision course Earth . It seems way knock course drill surface detonate nuclear weapon . But NASA 's under-funded yet resourceful team train world 's best drillers job , social order world begins break information reaches public hysteria results . As high-ranking officials play politics effort , drilling team faces deep personal issues may jeopardize humanity 's last chance ...","After discovering asteroid size Texas going impact Earth less month , NASA recruits misfit team deep-core drillers save planet .Due shuttle 's unfortunate demise outer space , NASA becomes aware doomsday asteroid collision course Earth . It seems way knock course drill surface detonate nuclear weapon . But NASA 's under-funded yet resourceful team train world 's best drillers job , social order world begins break information reaches public hysteria results . As high-ranking officials play politics effort , drilling team faces deep personal issues may jeopardize humanity 's last chance ..."
120,The Lost World: Jurassic Park,1997,6.6,375812,"A research team sent Jurassic Park Site B island study dinosaurs , InGen team approaches another agenda .","A research team sent island eighty-seven miles away previous home Jurassic Park , document photograph liberated dinosaurs . However , InGen BioEngineering company sent another larger team island catch , sedate , transport dinosaurs San Diego used new Jurassic Park location . But life always finds way . Will teams return mainland successful findings ? Or another tragedy occur ?","A research team sent Jurassic Park Site B island study dinosaurs , InGen team approaches another agenda .A research team sent island eighty-seven miles away previous home Jurassic Park , document photograph liberated dinosaurs . However , InGen BioEngineering company sent another larger team island catch , sedate , transport dinosaurs San Diego used new Jurassic Park location . But life always finds way . Will teams return mainland successful findings ? Or another tragedy occur ?"
137,Face/Off,1997,7.2,346739,"In order foil terrorist plot , FBI agent undergoes facial transplant surgery assumes identity criminal mastermind , murdered son . The plan turns sour criminal wakes prematurely seeks revenge .","Sean Archer , tough , rugged FBI Agent , still grieving dead son Michael . Archer believes son 's killer sworn enemy powerful criminal , Castor Troy . One day , Archer finally cornered Castor , however , fight knocked Troy cold . As Archer finally breathes easy capture enemy , finds Troy planted bomb destroy entire city Los Angeles inhabitants . Unfortunately person knows location Castor 's brother Pollux , refuses talk . The solution , special operation doctor cut people 's faces , place person 's face onto another person . Archer undergoes one surgeries talk Pollux . However , Castor Troy somehow regains consciousness wants revenge Archer taking face . Not Troy ruining Archer 's mission , personal life well . Archer must stop Troy . This time , 's personal .","In order foil terrorist plot , FBI agent undergoes facial transplant surgery assumes identity criminal mastermind , murdered son . The plan turns sour criminal wakes prematurely seeks revenge .Sean Archer , tough , rugged FBI Agent , still grieving dead son Michael . Archer believes son 's killer sworn enemy powerful criminal , Castor Troy . One day , Archer finally cornered Castor , however , fight knocked Troy cold . As Archer finally breathes easy capture enemy , finds Troy planted bomb destroy entire city Los Angeles inhabitants . Unfortunately person knows location Castor 's brother Pollux , refuses talk . The solution , special operation doctor cut people 's faces , place person 's face onto another person . Archer undergoes one surgeries talk Pollux . However , Castor Troy somehow regains consciousness wants revenge Archer taking face . Not Troy ruining Archer 's mission , personal life well . Archer must stop Troy . This time , 's personal ."
152,Total Recall,1990,7.5,299464,"When man goes virtual vacation memories planet Mars , unexpected harrowing series events forces go planet real - ?",Douglas Quaid haunted recurring dream journey Mars . He hopes find dream buys holiday Rekall Inc. sell implanted memories . But something goes wrong memory implantation remembers secret agent fighting evil Mars administrator Cohaagen . Now story really begins 's rollercoaster ride massive end movie .,"When man goes virtual vacation memories planet Mars , unexpected harrowing series events forces go planet real - ?Douglas Quaid haunted recurring dream journey Mars . He hopes find dream buys holiday Rekall Inc. sell implanted memories . But something goes wrong memory implantation remembers secret agent fighting evil Mars administrator Cohaagen . Now story really begins 's rollercoaster ride massive end movie ."
166,Gattaca,1997,7.8,278589,A genetically inferior man assumes identity superior one order pursue lifelong dream space travel .,"In not-too-distant future , less-than-perfect man wants travel stars . Society categorized Vincent Freeman less suitable given genetic make-up become one underclass humans useful menial jobs . To move ahead , assumes identity Jerome Morrow , perfect genetic specimen paraplegic result car accident . With professional advice , Vincent learns deceive DNA urine sample testing . Just finally scheduled space mission , program director killed police begin investigation , jeopardizing secret .","A genetically inferior man assumes identity superior one order pursue lifelong dream space travel .In not-too-distant future , less-than-perfect man wants travel stars . Society categorized Vincent Freeman less suitable given genetic make-up become one underclass humans useful menial jobs . To move ahead , assumes identity Jerome Morrow , perfect genetic specimen paraplegic result car accident . With professional advice , Vincent learns deceive DNA urine sample testing . Just finally scheduled space mission , program director killed police begin investigation , jeopardizing secret ."
168,Alien³,1992,6.5,275410,"After last encounter , Ellen Ripley crash-lands Fiorina 161 , maximum security prison . When series strange deadly events occur shortly arrival , Ripley realizes brought along unwelcome visitor .","Ellen Ripley ( Sigourney Weaver ) survivor crash lands Fiorina 161 , bleak wasteland inhabited former inmates planet 's maximum security prison . Once , Ripley must face skepticism alien hunts prisoners guards . Without weapons modern technology kind , Ripley leads men battle terrifying creature .","After last encounter , Ellen Ripley crash-lands Fiorina 161 , maximum security prison . When series strange deadly events occur shortly arrival , Ripley realizes brought along unwelcome visitor .Ellen Ripley ( Sigourney Weaver ) survivor crash lands Fiorina 161 , bleak wasteland inhabited former inmates planet 's maximum security prison . Once , Ripley must face skepticism alien hunts prisoners guards . Without weapons modern technology kind , Ripley leads men battle terrifying creature ."
171,Starship Troopers,1997,7.2,267296,"Humans fascist , militaristic future wage war giant alien bugs .",In distant future high school kids encouraged become citizens joining military . What n't know 'll soon engaged full scale war planet alien insects . The fight ensure safety humanity .,"Humans fascist , militaristic future wage war giant alien bugs .In distant future high school kids encouraged become citizens joining military . What n't know 'll soon engaged full scale war planet alien insects . The fight ensure safety humanity ."
180,Contact,1997,7.4,252144,"Dr. Ellie Arroway , years searching , finds conclusive radio proof extraterrestrial intelligence , sending plans mysterious machine .","Astronomer Dr. Ellie Arroway long interested contact faraway lands , love fostered childhood father , Ted Arroway ( David Morse ) , died nine-years-old , leaving orphaned . Her current work monitoring extraterrestrial life based love part homage father . Ever since funding National Science Foundation ( N.S.F . ) pulled work , referred , including N.S.F . superior David Drumlin ( Tom Skerritt ) , science fiction science , Ellie , rogue scientist colleagues , looked funding ever could get continue work . When Ellie colleagues hear chatter originating vicinity star Vega , Ellie feels vindicated . But vindication short lived others , including politicians , military , religious leaders , scientists , Drumlin , try take work . When messages received ...","Dr. Ellie Arroway , years searching , finds conclusive radio proof extraterrestrial intelligence , sending plans mysterious machine .Astronomer Dr. Ellie Arroway long interested contact faraway lands , love fostered childhood father , Ted Arroway ( David Morse ) , died nine-years-old , leaving orphaned . Her current work monitoring extraterrestrial life based love part homage father . Ever since funding National Science Foundation ( N.S.F . ) pulled work , referred , including N.S.F . superior David Drumlin ( Tom Skerritt ) , science fiction science , Ellie , rogue scientist colleagues , looked funding ever could get continue work . When Ellie colleagues hear chatter originating vicinity star Vega , Ellie feels vindicated . But vindication short lived others , including politicians , military , religious leaders , scientists , Drumlin , try take work . When messages received ..."
189,Blade,1998,7.1,242866,"A half-vampire , half-mortal man becomes protector mortal race , slaying evil vampires .","In world vampires walk earth , Blade goal . His goal rid world vampire evil . When Blade witnesses vampire bite Dr. Karen Jenson , fights away beast takes Jenson back hideout . Here , alongside Abraham Whistler , Blade attempts help heal Jenson . The vampire Quinn attacked Blade , reports back master Deacon Frost , planning huge surprise human population .","A half-vampire , half-mortal man becomes protector mortal race , slaying evil vampires .In world vampires walk earth , Blade goal . His goal rid world vampire evil . When Blade witnesses vampire bite Dr. Karen Jenson , fights away beast takes Jenson back hideout . Here , alongside Abraham Whistler , Blade attempts help heal Jenson . The vampire Quinn attacked Blade , reports back master Deacon Frost , planning huge surprise human population ."
195,Batman & Robin,1997,3.8,232537,Batman Robin try keep relationship together even must stop Mr . Freeze Poison Ivy freezing Gotham City .,"Batman Robin back working side-by-side stop villains Gotham City , tension appearing , especially one villainess calls Poison Ivy make anyone fall love ... literally . Along Poison Ivy , icy Mr . Freeze freezing anything gets way achieving goal .","Batman Robin try keep relationship together even must stop Mr . Freeze Poison Ivy freezing Gotham City .Batman Robin back working side-by-side stop villains Gotham City , tension appearing , especially one villainess calls Poison Ivy make anyone fall love ... literally . Along Poison Ivy , icy Mr . Freeze freezing anything gets way achieving goal ."
199,Alien: Resurrection,1997,6.2,227170,"200 years death , Ellen Ripley revived powerful human/alien hybrid clone . Along crew space pirates , must battle deadly aliens stop reaching Earth .","The saga continues 200 years Ripley sacrificed sake humanity . Her erstwhile employers long gone , time military resurrects one-woman killing machine genetic cloning extract alien within , process DNA fused queen aliens escape . Now Ripley must decide allegiance lies .","200 years death , Ellen Ripley revived powerful human/alien hybrid clone . Along crew space pirates , must battle deadly aliens stop reaching Earth .The saga continues 200 years Ripley sacrificed sake humanity . Her erstwhile employers long gone , time military resurrects one-woman killing machine genetic cloning extract alien within , process DNA fused queen aliens escape . Now Ripley must decide allegiance lies ."
217,Cube,1997,7.2,210261,Six complete strangers widely varying personalities involuntarily placed endless maze containing deadly traps .,"Six different people , different walk life , awaken find inside giant cube thousands possible rooms . Each skill becomes clear must band together get : cop , math whiz , building designer , doctor , escape master , disabled man . Each plays part thrilling quest find answers 've imprisoned .","Six complete strangers widely varying personalities involuntarily placed endless maze containing deadly traps .Six different people , different walk life , awaken find inside giant cube thousands possible rooms . Each skill becomes clear must band together get : cop , math whiz , building designer , doctor , escape master , disabled man . Each plays part thrilling quest find answers 've imprisoned ."
220,Mars Attacks!,1996,6.3,208544,Earth invaded Martians unbeatable weapons cruel sense humor .,"It normal day everyone , President United States James Dale ( Jack Nicholson ) announces Martians spotted circling Earth . The Martians land meeting arranged , everything goes plan , Martians seem plans Earth . Are misunderstood beings really want destroy humanity ?","Earth invaded Martians unbeatable weapons cruel sense humor .It normal day everyone , President United States James Dale ( Jack Nicholson ) announces Martians spotted circling Earth . The Martians land meeting arranged , everything goes plan , Martians seem plans Earth . Are misunderstood beings really want destroy humanity ?"
235,Dark City,1998,7.6,186810,"A man struggles memories past , includes wife remember , nightmarish world , one else seems waking .","John Murdoch awakens alone strange hotel find lost memory wanted series brutal bizarre murders . While trying piece together past , stumbles upon fiendish underworld controlled group beings known The Strangers possess ability put people sleep alter city inhabitants . Now Murdoch must find way stop take control mind destroy .","A man struggles memories past , includes wife remember , nightmarish world , one else seems waking .John Murdoch awakens alone strange hotel find lost memory wanted series brutal bizarre murders . While trying piece together past , stumbles upon fiendish underworld controlled group beings known The Strangers possess ability put people sleep alter city inhabitants . Now Murdoch must find way stop take control mind destroy ."
244,Godzilla,1998,5.4,180980,"A giant , reptilian monster surfaces , leaving destruction wake strides New York City . To stop , earthworm scientist , reporter ex-girlfriend , unlikely heroes team save city .","In wake extensive nuclear testing South Pacific Ocean , low-profile scientist , Niko Tatopoulos , summoned U.S. Army shed light mysterious attack fishing ship , ominous sightings gargantuan sea-dragon . Before long , mutated scaly nightmare shape Godzilla -- massive all-powerful radioactive sauroid -- threatens level rain-soaked New York City , backdrop crippling bureaucracy military 's futile attempts stop invincible beast ocean . Now , 's Niko ; cryptic insurance agent , Philippe ; determined reporter , Audrey , brave cameraman , Victor , put end Godzilla 's reign terror 's late . Is reason Godzilla chosen Manhattan den ?","A giant , reptilian monster surfaces , leaving destruction wake strides New York City . To stop , earthworm scientist , reporter ex-girlfriend , unlikely heroes team save city .In wake extensive nuclear testing South Pacific Ocean , low-profile scientist , Niko Tatopoulos , summoned U.S. Army shed light mysterious attack fishing ship , ominous sightings gargantuan sea-dragon . Before long , mutated scaly nightmare shape Godzilla -- massive all-powerful radioactive sauroid -- threatens level rain-soaked New York City , backdrop crippling bureaucracy military 's futile attempts stop invincible beast ocean . Now , 's Niko ; cryptic insurance agent , Philippe ; determined reporter , Audrey , brave cameraman , Victor , put end Godzilla 's reign terror 's late . Is reason Godzilla chosen Manhattan den ?"
245,Waterworld,1995,6.2,179023,"In future polar ice-caps melted Earth almost entirely submerged , mutated mariner fights starvation outlaw `` smokers , '' reluctantly helps woman young girl try find dry land .","The polar ice caps melted , earth covered water . The remaining people travel seas , search survival . Several different societies exist . The Mariner falls customary solitary existence care woman young girl pursued evil forces Deacon .","In future polar ice-caps melted Earth almost entirely submerged , mutated mariner fights starvation outlaw `` smokers , '' reluctantly helps woman young girl try find dry land .The polar ice caps melted , earth covered water . The remaining people travel seas , search survival . Several different societies exist . The Mariner falls customary solitary existence care woman young girl pursued evil forces Deacon ."
248,Stargate,1994,7.1,174007,"An interstellar teleportation device , found Egypt , leads planet humans resembling ancient Egyptians worship god Ra .","In 1928 , Egypt , strange device found expedition . In present days , outcast linguist Dr. Daniel Jackson invited mysterious woman decipher ancient hieroglyph military facility . Soon finds device developed advanced civilization opens portal teletransport another planet . Dr. Jackson invited join military team command Colonel Jonathan 'Jack ' O'Neil explore new world . They find land recalls Egypt humans primitive culture worship slaves Ra , God Sun . But soon discover secret mysterious `` stargate '' .","An interstellar teleportation device , found Egypt , leads planet humans resembling ancient Egyptians worship god Ra .In 1928 , Egypt , strange device found expedition . In present days , outcast linguist Dr. Daniel Jackson invited mysterious woman decipher ancient hieroglyph military facility . Soon finds device developed advanced civilization opens portal teletransport another planet . Dr. Jackson invited join military team command Colonel Jonathan 'Jack ' O'Neil explore new world . They find land recalls Egypt humans primitive culture worship slaves Ra , God Sun . But soon discover secret mysterious `` stargate '' ."
